Game,Score,Steps,Length
366,102,3369,105
367,60,1550,63
368,41,1029,44
369,67,1848,70
370,50,1382,53
371,54,1410,57
372,45,1162,48
373,49,1242,52
374,55,1589,58
375,125,4292,128
376,96,2691,99
377,38,1116,41
378,38,1137,41
379,49,1446,52
380,59,1579,62
381,28,687,31
382,45,1109,48
383,13,300,16
384,52,1380,55
385,46,1318,49
386,54,1483,57
387,66,2189,69
388,53,1274,56
389,64,1782,67
390,83,2375,86
391,68,2068,71
392,78,2256,81
393,41,1131,44
394,39,895,42
395,122,4686,125
396,59,1471,62
397,60,1517,63
398,94,2834,97
399,39,1094,42
400,73,2046,76
401,83,2316,86
402,63,1428,66
403,19,455,22
404,77,2374,80
405,45,1207,48
406,55,1619,58
407,43,1145,46
408,30,747,33
409,22,581,25
410,10,283,13
411,118,3494,121
412,56,1442,59
413,81,2516,84
414,108,3128,111
415,76,2002,79
416,33,920,36
417,32,796,35
418,29,796,32
419,40,1133,43
420,34,858,37
421,30,697,33
422,81,2247,84
423,44,1131,47
424,28,707,31
425,56,1509,59
426,52,1511,55
427,45,1116,48
428,42,1022,45
429,42,1027,45
430,40,1018,43
431,68,1981,71
432,24,716,27
433,28,672,31
434,22,599,25
435,111,3471,114
436,58,1512,61
437,59,1506,62
438,74,2045,77
439,39,992,42
440,47,1162,50
441,39,1047,42
442,39,1023,42
443,66,2004,69
444,92,2671,95
445,18,373,21
446,74,2295,77
447,84,2687,87
448,22,439,25
449,80,2348,83
450,37,935,40
451,36,827,39
452,94,2774,97
453,78,2278,81
454,62,1718,65
455,52,1271,55
456,66,1758,69
457,77,1999,80
458,57,1599,60
459,37,892,40
460,71,1903,74
461,63,1822,66
462,65,1920,68
463,52,1385,55
464,28,659,31
465,19,622,22
466,58,1500,61
467,117,4043,120
468,96,3307,99
469,101,2991,104
470,38,926,41
471,63,1472,66
472,54,1516,57
473,55,1495,58
474,52,1192,55
475,47,1134,50
476,66,1689,69
477,57,1497,60
478,21,484,24
479,63,1920,66
480,20,492,23
481,79,2164,82
482,66,1676,69
483,66,1840,69
484,66,2008,69
485,40,1046,43
486,34,882,37
487,71,2200,74
488,65,1727,68
489,61,1519,64
490,65,1826,68
491,57,1448,60
492,37,869,40
493,44,1205,47
494,67,1768,70
495,68,2063,71
496,26,720,29
497,46,1135,49
498,79,2509,82
499,33,910,36
500,58,1571,61
501,68,1761,71
502,49,1149,52
503,37,966,40
504,63,1645,66
505,26,624,29
506,21,421,24
507,44,1245,47
508,70,2029,73
